,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
53,Orebro,31,11,4,12.4,4633,5212,2.248,2.462,4.71,"116,255",28.8,499,254,1.462591827,-1.005609686
54,Soderml,31,12,4,16.4,5799,8602,1.968,2.573,4.541,"108,327",15.6,463,361,3.657268978,-0.911660981
55,Skara,31,13,4,20.4,17043,9775,1.946,7.42,9.366,"167,384",110.2,382,170,0,0
56,Alvsb,31,14,4,16,9372,7321,0.646,1.937,2.583,"197,697",33.6,352,101,3.657268978,-0.911660981
57,Goteborg,31,15,4,29,12612,10358,0.376,2.443,2.819,"154,054",21.6,381,44,1.396316619,2.887332404
58,Ostergl,31,16,4,16.1,6942,5768,1.889,1.889,3.778,"187,609",40.4,375,302,3.657268978,-0.911660981
59,Kalmar,31,17,4,14.2,6410,7703,0.086,0.513,0.599,"165,743",71.1,237,323,3.657268978,-0.911660981
60,Jonk,31,18,4,12.8,7525,8702,1.214,2.522,3.736,"137,478",73.8,269,217,3.657268978,-0.911660981
61,Halland,31,19,4,15.6,11694,8285,0.175,1.049,1.224,"88,975",23.3,208,107,1.05374808,3.462937462
62,Kronob,31,20,4,11.5,5101,8334,1.061,3.712,4.773,"108,741",55.5,184,224,3.657268978,-0.911660981
63,Kristian,31,21,4,23.8,12504,11129,0,1.583,1.583,"150,372",52.1,103,170,-3.194101806,10.60044019
64,Blek,31,22,4,28.1,9979,10983,0,0,0,"85,734",111.6,120,263,2.835104484,0.469791159
65,Malmo,31,23,4,39.6,25891,11866,0,0,0,"200,103",12.9,58,136,-3.194101806,10.60044019
66,Norrb,32,1,5,0.4,173,362,0.009,0.585,0.594,"43,887",4,1439,513,-5.108696594,-3.057622193
67,Vasterb,32,2,5,0.8,308,722,0.489,1.687,2.176,"49,994",17.2,1179,415,-5.309734561,-3.355977912
68,Jamt,32,3,5,0.8,262,1154,0.055,0.37,0.425,"42,225",1.8,976,222,-4.993817756,-2.887133211
69,Vastern,32,4,5,3.4,1184,2676,0.26,0.779,1.039,"78,421",5.4,962,387,-4.781058813,-2.548038063
70,Gavle,32,5,5,5.2,1439,4299,1.721,1.721,3.442,"102,736",11,756,336,-4.062374376,-1.464477498
71,Koppar,32,6,5,4.4,2156,3980,0.493,0.954,1.447,"134,820",7.3,696,221,-5.0056477,-2.88665074
72,Varm,32,7,5,8.9,4604,3728,1.651,2.115,3.766,"172,858",30.4,564,140,-3.511004297,-2.628673034
73,Upps,32,8,5,11.3,7687,8393,0.416,4.025,4.441,"81,742",16.4,588,422,3.657268978,-0.911660981
74,Vastml,32,9,5,13.5,6384,5317,2.117,1.814,3.931,"89,262",22.7,557,337,3.154624876,-0.893471208
75,Stock,32,10,5,27.2,8152,10250,1.178,2.209,3.387,"184,711",5.9,519,453,3.657268978,-0.911660981
76,Orebro,32,11,5,12.4,4633,5212,1.82,2.355,4.175,"116,255",37.4,499,254,1.462591827,-1.005609686
