,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
231,Vastml,39,9,12,14,6569,5178,2.57,2.722,5.292,"92,494",34.8,557,337,3.154624876,-0.893471208
232,Stock,39,10,12,28.6,8458,10930,3.682,5.303,8.985,"194,440",10.8,519,453,3.657268978,-0.911660981
233,Orebro,39,11,12,13.4,4949,5232,0.428,0.428,0.856,"125,061",5,499,254,1.462591827,-1.005609686
234,Soderml,39,12,12,17.4,6006,9101,3.633,1.06,4.693,"114,920",19.1,463,361,3.657268978,-0.911660981
235,Skara,39,13,12,22,17674,9872,0.608,7.055,7.663,"181,048",85.2,382,170,0,0
236,Alvsb,39,14,12,17.6,9686,6948,1.695,5.731,7.426,"218,618",53,352,101,3.657268978,-0.911660981
237,Goteborg,39,15,12,31,12227,12905,1.128,2.819,3.947,"164,974",39.3,381,44,1.396316619,2.887332404
238,Ostergl,39,16,12,17.7,8011,6851,0.429,3.005,3.434,"206,625",27.3,375,302,3.657268978,-0.911660981
239,Kalmar,39,17,12,15.8,6751,7412,0,0.428,0.428,"184,557",28.5,237,323,3.657268978,-0.911660981
240,Jonk,39,18,12,14.1,7755,8711,0.56,3.363,3.923,"150,477",28.4,269,217,3.657268978,-0.911660981
241,Halland,39,19,12,16.6,11832,9703,0,0,0,"94,934",1.2,208,107,1.05374808,3.462937462
242,Kronob,39,20,12,12.9,5286,7428,0.212,3.182,3.394,"121,454",47.2,184,224,3.657268978,-0.911660981
243,Kristian,39,21,12,26.3,13972,12112,0,0,0,"165,880",65.1,103,170,-3.194101806,10.60044019
244,Blek,39,22,12,31.4,9052,8160,2.291,2.946,5.237,"95,807",69.7,120,263,2.835104484,0.469791159
245,Malmo,39,23,12,43.9,26179,13454,0,0,0,"221,670",78.8,58,136,-3.194101806,10.60044019
246,Alvsb,43,14,16,18.8,10169,6998,1.534,3.552,5.086,"233,125",59,352,101,3.657268978,-0.911660981
247,Goteborg,43,15,16,33.2,14013,12630,0,1.316,1.316,"176,696",48.9,381,44,1.396316619,2.887332404
248,Alvsb,44,14,17,18.8,10169,6998,0.565,3.39,3.955,"233,125",50.2,352,101,3.657268978,-0.911660981
249,Goteborg,44,15,17,33.2,14013,12630,1.128,3.759,4.887,"176,696",63.2,381,44,1.396316619,2.887332404
250,Malmo,44,23,17,46.4,38236,19085,0,0,0,"234,207",5.9,58,136,-3.194101806,10.60044019
251,Norrb,45,1,18,0.5,170,389,0.009,0.538,0.547,"53,429",3.9,1439,513,-5.108696594,-3.057622193
252,Vasterb,45,2,18,1,353,861,0.135,0.624,0.759,"60,815",10.9,1179,415,-5.309734561,-3.355977912
253,Jamt,45,3,18,0.9,252,1431,0.148,0.148,0.296,"49,077",4.7,976,222,-4.993817756,-2.887133211
254,Vastern,45,4,18,4.1,1411,2947,0.779,0.13,0.909,"93,775",13.7,962,387,-4.781058813,-2.548038063
255,Gavle,45,5,18,5.9,1980,4839,2.43,0.354,2.784,"116,175",9.9,756,336,-4.062374376,-1.464477498
256,Koppar,45,6,18,4.8,2282,4348,1.217,0.592,1.809,"145,333",8.5,696,221,-5.0056477,-2.88665074
257,Varm,45,7,18,10.8,4778,3803,2.579,2.682,5.261,"209,596",28.6,564,140,-3.511004297,-2.628673034
258,Upps,45,8,18,12.2,8146,8490,3.053,0,3.053,"87,700",38.2,588,422,3.657268978,-0.911660981
259,Vastml,45,9,18,14.3,7402,5620,4.234,0.605,4.839,"94,850",53.1,557,337,3.154624876,-0.893471208
260,Alvsb,45,14,18,18.8,10169,6998,0.807,2.906,3.713,"233,125",65.9,352,101,3.657268978,-0.911660981
261,Goteborg,45,15,18,33.2,14013,12630,0.564,1.316,1.88,"176,696",63,381,44,1.396316619,2.887332404
262,Ostergl,45,16,18,18.4,8108,6659,0.429,1.546,1.975,"214,628",53.1,375,302,3.657268978,-0.911660981
263,Kalmar,45,17,18,16.8,7233,7476,0,0.77,0.77,"196,116",14.7,237,323,3.657268978,-0.911660981
264,Jonk,45,18,18,14.7,9366,9711,0.654,1.588,2.242,"156,988",34.7,269,217,3.657268978,-0.911660981
265,Kronob,45,20,18,13.7,5554,7303,0.636,3.712,4.348,"129,186",46.5,184,224,3.657268978,-0.911660981
266,Kristian,45,21,18,28.1,17857,13980,0,1.266,1.266,"177,767",58.6,103,170,-3.194101806,10.60044019
267,Blek,45,22,18,33.5,9994,8881,0.327,0.327,0.654,"102,342",69.7,120,263,2.835104484,0.469791159
268,Malmo,45,23,18,46.4,38236,19085,0,0,0,"234,207",14.1,58,136,-3.194101806,10.60044019
269,Norrb,46,1,19,0.5,170,389,0.019,0.33,0.349,"53,429",3.8,1439,513,-5.108696594,-3.057622193
270,Vasterb,46,2,19,1,353,861,0.118,0.32,0.438,"60,815",9.7,1179,415,-5.309734561,-3.355977912
271,Jamt,46,3,19,0.9,252,1431,0.111,0.166,0.277,"49,077",2.9,976,222,-4.993817756,-2.887133211
272,Vastern,46,4,19,4.1,1411,2947,0.13,0.087,0.217,"93,775",10.7,962,387,-4.781058813,-2.548038063
273,Gavle,46,5,19,5.9,1980,4839,1.772,0.506,2.278,"116,175",10.7,756,336,-4.062374376,-1.464477498
274,Koppar,46,6,19,4.8,2282,4348,1.02,0.263,1.283,"145,333",7,696,221,-5.0056477,-2.88665074
275,Upps,46,8,19,12.2,8146,8490,3.053,2.914,5.967,"87,700",34.7,588,422,3.657268978,-0.911660981
276,Vastml,46,9,19,14.3,7402,5620,4.536,6.048,10.584,"94,850",51.4,557,337,3.154624876,-0.893471208
277,Alvsb,46,14,19,18.8,10169,6998,0.565,2.987,3.552,"233,125",63.8,352,101,3.657268978,-0.911660981
278,Goteborg,46,15,19,33.2,14013,12630,0.376,2.068,2.444,"176,696",72.2,381,44,1.396316619,2.887332404
279,Ostergl,46,16,19,18.4,8108,6659,0.601,1.803,2.404,"214,628",46.7,375,302,3.657268978,-0.911660981
280,Kalmar,46,17,19,16.8,7233,7476,0.171,0.428,0.599,"196,116",13.2,237,323,3.657268978,-0.911660981
281,Jonk,46,18,19,14.7,9366,9711,0.187,1.401,1.588,"156,988",20.6,269,217,3.657268978,-0.911660981
282,Kronob,46,20,19,13.7,5554,7303,0.53,2.227,2.757,"129,186",46.3,184,224,3.657268978,-0.911660981
283,Kristian,46,21,19,28.1,17857,13980,0,0.475,0.475,"177,767",42.1,103,170,-3.194101806,10.60044019
284,Blek,46,22,19,33.5,9994,8881,0,0,0,"102,342",79.2,120,263,2.835104484,0.469791159
285,Malmo,46,23,19,46.4,38236,19085,0,0,0,"234,207",19.8,58,136,-3.194101806,10.60044019
286,Alvsb,47,14,20,18.8,10169,6998,0.969,1.937,2.906,"233,125",59.4,352,101,3.657268978,-0.911660981
287,Goteborg,47,15,20,33.2,14013,12630,0.564,2.631,3.195,"176,696",81.4,381,44,1.396316619,2.887332404
288,Alvsb,48,14,21,19.9,10407,6860,0.323,0.807,1.13,"246,136",29.6,352,101,3.657268978,-0.911660981
289,Goteborg,48,15,21,35.3,14246,13026,0.752,1.88,2.632,"187,583",68.4,381,44,1.396316619,2.887332404
290,Alvsb,49,14,22,19.9,10407,6860,0.484,2.583,3.067,"246,136",56.3,352,101,3.657268978,-0.911660981
291,Goteborg,49,15,22,35.3,14246,13026,0.752,4.887,5.639,"187,583",60.1,381,44,1.396316619,2.887332404
292,Malmo,49,23,22,50.1,43720,20018,0,0,0,"253,084",20.2,58,136,-3.194101806,10.60044019
293,Norrb,50,1,23,0.6,178,384,0,0.377,0.377,"58,835",4.6,1439,513,-5.108696594,-3.057622193
294,Vasterb,50,2,23,1.1,352,892,0.051,0.169,0.22,"67,674",8.9,1179,415,-5.309734561,-3.355977912
295,Jamt,50,3,23,1,276,1562,0.148,0.277,0.425,"52,271",3,976,222,-4.993817756,-2.887133211
296,Vastern,50,4,23,4.3,1412,3023,0.216,0.087,0.303,"99,558",8.7,962,387,-4.781058813,-2.548038063
297,Gavle,50,5,23,6.1,2051,4725,1.417,0.202,1.619,"120,158",6.3,756,336,-4.062374376,-1.464477498
298,Koppar,50,6,23,5,2299,4407,0.954,0.263,1.217,"151,497",6.5,696,221,-5.0056477,-2.88665074
299,Vastml,50,9,23,14.6,7473,5810,3.931,1.21,5.141,"96,691",61.5,557,337,3.154624876,-0.893471208
300,Alvsb,50,14,23,19.9,10407,6860,1.292,2.179,3.471,"246,136",76,352,101,3.657268978,-0.911660981
301,Goteborg,50,15,23,35.3,14246,13026,0,2.255,2.255,"187,583",75.6,381,44,1.396316619,2.887332404
302,Ostergl,50,16,23,19.1,8576,6588,0.515,1.803,2.318,"222,484",45.3,375,302,3.657268978,-0.911660981
303,Kalmar,50,17,23,17.3,7786,7823,0.342,0.513,0.855,"202,178",80,237,323,3.657268978,-0.911660981
304,Jonk,50,18,23,15.3,8667,8974,0,0,0,"163,426",18.8,269,217,3.657268978,-0.911660981
305,Halland,50,19,23,18.5,14204,10458,0,0.175,0.175,"105,726",39.3,208,107,1.05374808,3.462937462
306,Kronob,50,20,23,14.5,5529,7194,0.212,2.969,3.181,"136,623",41.9,184,224,3.657268978,-0.911660981
307,Norrb,51,1,24,0.6,208,345,0.019,0.274,0.293,"58,835",5.2,1439,513,-5.108696594,-3.057622193
308,Vasterb,51,2,24,1.1,404,921,0.051,0.169,0.22,"67,674",9.3,1179,415,-5.309734561,-3.355977912
309,Jamt,51,3,24,1,301,1717,0.148,0.185,0.333,"52,271",4,976,222,-4.993817756,-2.887133211
310,Vastern,51,4,24,4.3,1568,3046,0.649,0.087,0.736,"99,558",8,962,387,-4.781058813,-2.548038063
311,Gavle,51,5,24,6.1,2177,4504,1.164,0.405,1.569,"120,158",9.5,756,336,-4.062374376,-1.464477498
312,Koppar,51,6,24,5,2407,4358,1.118,1.349,2.467,"151,497",6.4,696,221,-5.0056477,-2.88665074
313,Vastml,51,9,24,14.6,8274,5150,2.57,0.454,3.024,"96,691",59.4,557,337,3.154624876,-0.893471208
314,Alvsb,51,14,24,19.9,13638,8018,1.049,3.148,4.197,"246,136",49.2,352,101,3.657268978,-0.911660981
315,Goteborg,51,15,24,35.3,17350,11719,1.504,2.443,3.947,"187,583",81.8,381,44,1.396316619,2.887332404
316,Ostergl,51,16,24,19.1,9587,6747,0.429,1.03,1.459,"222,484",44.8,375,302,3.657268978,-0.911660981
317,Kalmar,51,17,24,17.3,8615,9118,0.77,0.77,1.54,"202,178",65.2,237,323,3.657268978,-0.911660981
318,Jonk,51,18,24,15.3,9215,8900,0.093,0,0.093,"163,426",6.2,269,217,3.657268978,-0.911660981
319,Halland,51,19,24,18.5,15428,10179,0,0,0,"105,726",52.8,208,107,1.05374808,3.462937462
320,Kronob,51,20,24,14.5,6245,7268,0.106,1.803,1.909,"136,623",38.6,184,224,3.657268978,-0.911660981
321,Norrb,52,1,25,0.6,208,345,0.028,0.396,0.424,"58,835",5.2,1439,513,-5.108696594,-3.057622193
322,Vasterb,52,2,25,1.1,404,921,0.051,0.236,0.287,"67,674",10,1179,415,-5.309734561,-3.355977912
323,Jamt,52,3,25,1,301,1717,0.148,0.203,0.351,"52,271",2.3,976,222,-4.993817756,-2.887133211
324,Vastern,52,4,25,4.3,1568,3046,0.519,0.087,0.606,"99,558",8.5,962,387,-4.781058813,-2.548038063
325,Gavle,52,5,25,6.1,2177,4504,1.164,0.354,1.518,"120,158",9.1,756,336,-4.062374376,-1.464477498
326,Koppar,52,6,25,5,2407,4358,0.855,0.066,0.921,"151,497",6.1,696,221,-5.0056477,-2.88665074
327,Upps,52,8,25,12.4,8290,9352,1.249,0.833,2.082,"89,323",60.8,588,422,3.657268978,-0.911660981
328,Vastml,52,9,25,14.6,8274,5150,2.419,1.21,3.629,"96,691",70.3,557,337,3.154624876,-0.893471208
329,Alvsb,52,14,25,19.9,13638,8018,1.292,2.179,3.471,"246,136",66.6,352,101,3.657268978,-0.911660981
330,Goteborg,52,15,25,35.3,17350,11719,0.376,1.316,1.692,"187,583",97,381,44,1.396316619,2.887332404
331,Ostergl,52,16,25,19.1,9587,6747,0.429,0.859,1.288,"222,484",45.3,375,302,3.657268978,-0.911660981
332,Jonk,52,18,25,15.3,9215,8900,0,1.495,1.495,"163,426",12.2,269,217,3.657268978,-0.911660981
333,Halland,52,19,25,18.5,15428,10179,0,0,0,"105,726",43,208,107,1.05374808,3.462937462
334,Kronob,52,20,25,14.5,6245,7268,0.212,1.697,1.909,"136,623",39.8,184,224,3.657268978,-0.911660981
335,Norrb,53,1,26,0.6,208,345,0.009,0.292,0.301,"63,649",5.1,1439,513,-5.108696594,-3.057622193
336,Vasterb,53,2,26,1.3,404,921,0.101,0.152,0.253,"75,974",9,1179,415,-5.309734561,-3.355977912
337,Jamt,53,3,26,1,301,1717,0.203,0.203,0.406,"56,127",2.4,976,222,-4.993817756,-2.887133211
338,Vastern,53,4,26,4.7,1568,3046,0.952,0,0.952,"107,631",9.6,962,387,-4.781058813,-2.548038063
339,Gavle,53,5,26,6.4,2177,4504,1.316,0.152,1.468,"126,368",7.8,756,336,-4.062374376,-1.464477498
340,Koppar,53,6,26,5.2,2407,4358,1.184,0.23,1.414,"158,755",9.2,696,221,-5.0056477,-2.88665074
341,Upps,53,8,26,12.6,8290,9352,0.694,1.249,1.943,"90,877",58.8,588,422,3.657268978,-0.911660981
342,Vastml,53,9,26,15,8274,5150,1.21,0.756,1.966,"98,879",59.3,557,337,3.154624876,-0.893471208
343,Alvsb,53,14,26,20.5,13638,8018,0.323,0.404,0.727,"254,290",55.4,352,101,3.657268978,-0.911660981
344,Goteborg,53,15,26,37,17350,11719,0.752,1.692,2.444,"196,662",79.1,381,44,1.396316619,2.887332404
345,Ostergl,53,16,26,19.9,9587,6747,0.086,1.202,1.288,"231,358",37.1,375,302,3.657268978,-0.911660981
346,Halland,53,19,26,19.4,15428,10179,0,0.175,0.175,"110,815",36.7,208,107,1.05374808,3.462937462
347,Norrb,54,1,27,0.6,208,345,0.019,0.274,0.293,"63,649",4,1439,513,-5.108696594,-3.057622193
348,Vasterb,54,2,27,1.3,404,921,0.067,0.101,0.168,"75,974",8.2,1179,415,-5.309734561,-3.355977912
349,Jamt,54,3,27,1,301,1717,0.185,0.277,0.462,"56,127",3.6,976,222,-4.993817756,-2.887133211
350,Vastern,54,4,27,4.7,1568,3046,0.779,0.043,0.822,"107,631",11.1,962,387,-4.781058813,-2.548038063
351,Gavle,54,5,27,6.4,2177,4504,1.67,0.456,2.126,"126,368",39.6,756,336,-4.062374376,-1.464477498
352,Koppar,54,6,27,5.2,2407,4358,1.217,0.23,1.447,"158,755",6.4,696,221,-5.0056477,-2.88665074
353,Upps,54,8,27,12.6,8290,9352,1.527,0.971,2.498,"90,877",52.7,588,422,3.657268978,-0.911660981
354,Vastml,54,9,27,15,8274,5150,2.268,1.512,3.78,"98,879",82.3,557,337,3.154624876,-0.893471208
355,Alvsb,54,14,27,20.5,13638,8018,0.242,0.323,0.565,"254,290",49.6,352,101,3.657268978,-0.911660981
356,Goteborg,54,15,27,37,17350,11719,0.376,0.94,1.316,"196,662",80.8,381,44,1.396316619,2.887332404
357,Ostergl,54,16,27,19.9,9587,6747,0.343,0.086,0.429,"231,358",34.4,375,302,3.657268978,-0.911660981
358,Halland,54,19,27,19.4,15428,10179,0,0.175,0.175,"110,815",46.2,208,107,1.05374808,3.462937462
359,Kronob,54,20,27,15.2,6245,7268,0.318,2.333,2.651,"143,707",47,184,224,3.657268978,-0.911660981
360,Norrb,55,1,28,0.6,208,345,0,0.934,0.934,"63,649",5.2,1439,513,-5.108696594,-3.057622193
361,Vasterb,55,2,28,1.3,404,921,0.084,0.506,0.59,"75,974",8.3,1179,415,-5.309734561,-3.355977912
362,Jamt,55,3,28,1,301,1717,0.277,0.388,0.665,"56,127",3.9,976,222,-4.993817756,-2.887133211
363,Vastern,55,4,28,4.7,1568,3046,0.692,0.043,0.735,"107,631",12.2,962,387,-4.781058813,-2.548038063
364,Gavle,55,5,28,6.4,2177,4504,2.025,0.456,2.481,"126,368",10.4,756,336,-4.062374376,-1.464477498
365,Koppar,55,6,28,5.2,2407,4358,1.316,0.164,1.48,"158,755",6.9,696,221,-5.0056477,-2.88665074
366,Upps,55,8,28,12.6,8290,9352,1.11,2.776,3.886,"90,877",63.8,588,422,3.657268978,-0.911660981
367,Vastml,55,9,28,15,8274,5150,1.512,1.058,2.57,"98,879",85.4,557,337,3.154624876,-0.893471208
368,Alvsb,55,14,28,20.5,13638,8018,0.161,1.049,1.21,"254,290",62,352,101,3.657268978,-0.911660981
369,Goteborg,55,15,28,37,17350,11719,0.188,0.188,0.376,"196,662",75.9,381,44,1.396316619,2.887332404
370,Ostergl,55,16,28,19.9,9587,6747,0.773,0.945,1.718,"231,358",34.9,375,302,3.657268978,-0.911660981
371,Kalmar,55,17,28,18.2,8615,9118,0.222,1.454,1.676,"212,432",87.5,237,323,3.657268978,-0.911660981
372,Jonk,55,18,28,15.6,9215,8900,0,0.093,0.093,"166,591",17.3,269,217,3.657268978,-0.911660981
373,Halland,55,19,28,19.4,15428,10179,0,0.175,0.175,"110,815",40.4,208,107,1.05374808,3.462937462
374,Kronob,55,20,28,15.2,6245,7268,0.106,1.909,2.015,"143,707",49.8,184,224,3.657268978,-0.911660981
375,Norrb,56,1,29,0.6,291,336,0.009,0.274,0.283,"63,649",5.8,1439,513,-5.108696594,-3.057622193
376,Vasterb,56,2,29,1.3,542,846,0.101,0.27,0.371,"75,974",8.1,1179,415,-5.309734561,-3.355977912
377,Jamt,56,3,29,1,357,1690,0.518,0.407,0.925,"56,127",4.4,976,222,-4.993817756,-2.887133211
378,Vastern,56,4,29,4.7,1551,2758,1.558,0,1.558,"107,631",12.9,962,387,-4.781058813,-2.548038063
379,Gavle,56,5,29,6.4,2805,3159,1.62,0.051,1.671,"126,368",8.4,756,336,-4.062374376,-1.464477498
380,Koppar,56,6,29,5.2,3076,3349,1.349,0.395,1.744,"158,755",3.3,696,221,-5.0056477,-2.88665074
381,Upps,56,8,29,12.6,11943,6608,1.11,0.694,1.804,"90,877",63.6,588,422,3.657268978,-0.911660981
382,Vastml,56,9,29,15,9818,5236,1.814,1.663,3.477,"98,879",77.7,557,337,3.154624876,-0.893471208
383,Orebro,56,11,29,15.3,9573,5595,0.235,0,0.235,"142,863",3.5,499,254,1.462591827,-1.005609686
384,Alvsb,56,14,29,20.5,14373,6542,0.323,0.969,1.292,"254,290",57.6,352,101,3.657268978,-0.911660981
385,Goteborg,56,15,29,37,21840,11455,0.188,1.504,1.692,"196,662",77.4,381,44,1.396316619,2.887332404
386,Ostergl,56,16,29,19.9,13434,7172,0.086,0.515,0.601,"231,358",26.4,375,302,3.657268978,-0.911660981
387,Halland,56,19,29,19.4,20784,10578,0,0,0,"110,815",60.3,208,107,1.05374808,3.462937462
388,Kronob,56,20,29,15.2,9224,7425,0,1.379,1.379,"143,707",56,184,224,3.657268978,-0.911660981
389,Blek,56,22,29,36.4,13885,10198,0,0,0,"111,255",63.5,120,263,2.835104484,0.469791159
390,Malmo,56,23,29,53.2,56852,20448,0,0,0,"268,579",14.5,58,136,-3.194101806,10.60044019
391,Norrb,57,1,30,0.6,291,336,0.047,0.415,0.462,"63,649",5,1439,513,-5.108696594,-3.057622193
392,Vasterb,57,2,30,1.3,542,846,0.084,0.27,0.354,"75,974",8.1,1179,415,-5.309734561,-3.355977912
393,Jamt,57,3,30,1,357,1690,0.407,0.185,0.592,"56,127",3.3,976,222,-4.993817756,-2.887133211
394,Vastern,57,4,30,4.7,1551,2758,0.866,0,0.866,"107,631",8.3,962,387,-4.781058813,-2.548038063
395,Gavle,57,5,30,6.4,2805,3159,1.62,0.051,1.671,"126,368",7.2,756,336,-4.062374376,-1.464477498
396,Koppar,57,6,30,5.2,3076,3349,1.283,0.625,1.908,"158,755",5.9,696,221,-5.0056477,-2.88665074
397,Varm,57,7,30,12,8613,4821,1.176,0.536,1.712,"232,521",34.1,564,140,-3.511004297,-2.628673034
398,Upps,57,8,30,12.6,11943,6608,1.11,1.249,2.359,"90,877",66.9,588,422,3.657268978,-0.911660981
399,Vastml,57,9,30,15,9818,5236,1.814,0.454,2.268,"98,879",84.4,557,337,3.154624876,-0.893471208
400,Stock,57,10,30,31.8,11792,7040,0.736,0,0.736,"216,008",25.9,519,453,3.657268978,-0.911660981
401,Orebro,57,11,30,15.3,9573,5595,0.235,0,0.235,"142,863",3.5,499,254,1.462591827,-1.005609686
402,Skara,57,13,30,25.4,35004,10418,0,0.9,0.9,"208,795",102.7,382,170,0,0
403,Alvsb,57,14,30,20.5,14373,6542,0.161,1.13,1.291,"254,290",68.5,352,101,3.657268978,-0.911660981
404,Goteborg,57,15,30,37,21840,11455,0,0.188,0.188,"196,662",102.2,381,44,1.396316619,2.887332404
405,Ostergl,57,16,30,19.9,13434,7172,0.086,0.258,0.344,"231,358",28.6,375,302,3.657268978,-0.911660981
406,Kalmar,57,17,30,18.2,14148,8987,0.171,0.342,0.513,"212,432",110.5,237,323,3.657268978,-0.911660981
407,Halland,57,19,30,19.4,20784,10578,0,0,0,"110,815",51.6,208,107,1.05374808,3.462937462
408,Kronob,57,20,30,15.2,9224,7425,0,1.697,1.697,"143,707",52.1,184,224,3.657268978,-0.911660981
409,Kristian,57,21,30,31.1,24461,11708,0,0,0,"196,206",27.2,103,170,-3.194101806,10.60044019
410,Blek,57,22,30,36.4,13885,10198,0,0.655,0.655,"111,255",70.4,120,263,2.835104484,0.469791159
411,Malmo,57,23,30,53.2,56852,20448,0,0,0,"268,579",13.3,58,136,-3.194101806,10.60044019
412,Norrb,58,1,31,0.7,291,336,0.028,0.321,0.349,"69,225",5.9,1439,513,-5.108696594,-3.057622193
413,Vasterb,58,2,31,1.4,542,846,0.118,0.388,0.506,"81,478",9.6,1179,415,-5.309734561,-3.355977912
414,Jamt,58,3,31,1.1,357,1690,0.148,0.536,0.684,"61,218",4.1,976,222,-4.993817756,-2.887133211
415,Vastern,58,4,31,5,1551,2758,0.433,0.043,0.476,"116,669",9.2,962,387,-4.781058813,-2.548038063
416,Gavle,58,5,31,6.9,2805,3159,1.569,0.101,1.67,"136,061",8.4,756,336,-4.062374376,-1.464477498
417,Koppar,58,6,31,5.5,3076,3349,1.02,0.493,1.513,"166,899",6.3,696,221,-5.0056477,-2.88665074
418,Varm,58,7,31,12.7,8613,4821,1.176,0.536,1.712,"247,171",34.1,564,140,-3.511004297,-2.628673034
419,Upps,58,8,31,12.8,11943,6608,1.527,1.665,3.192,"92,536",65,588,422,3.657268978,-0.911660981
420,Vastml,58,9,31,15.6,9818,5236,1.21,0.756,1.966,"103,300",82.1,557,337,3.154624876,-0.893471208
421,Stock,58,10,31,34.5,11792,7040,2.799,0.147,2.946,"234,128",72.2,519,453,3.657268978,-0.911660981
422,Orebro,58,11,31,16.2,9573,5595,0.235,0,0.235,"151,651",3.5,499,254,1.462591827,-1.005609686
423,Skara,58,13,31,27,35004,10418,0,0.9,0.9,"222,240",88.1,382,170,0,0
424,Alvsb,58,14,31,21.7,14373,6542,0.484,0.646,1.13,"269,322",77.4,352,101,3.657268978,-0.911660981
425,Goteborg,58,15,31,40.3,21840,11455,0.376,1.128,1.504,"214,342",109.2,381,44,1.396316619,2.887332404
426,Ostergl,58,16,31,20.7,13434,7172,0,0.429,0.429,"240,917",19.5,375,302,3.657268978,-0.911660981
427,Kalmar,58,17,31,18.9,14148,8987,0.684,1.112,1.796,"221,029",88.3,237,323,3.657268978,-0.911660981
428,Jonk,58,18,31,16,13332,9561,0,0,0,"171,011",78.1,269,217,3.657268978,-0.911660981
429,Halland,58,19,31,20.9,20784,10578,0,0,0,"119,578",58.2,208,107,1.05374808,3.462937462
430,Kronob,58,20,31,16.1,9224,7425,0.106,1.591,1.697,"152,225",49.2,184,224,3.657268978,-0.911660981
431,Kristian,58,21,31,33.2,24461,11708,0,0,0,"209,581",27.7,103,170,-3.194101806,10.60044019
432,Blek,58,22,31,38.6,13885,10198,0,0.327,0.327,"117,875",95.2,120,263,2.835104484,0.469791159
433,Malmo,58,23,31,56.3,56852,20448,0,0,0,"284,430",13.3,58,136,-3.194101806,10.60044019
434,Norrb,59,1,32,0.7,291,336,0.019,0.538,0.557,"69,225",5.6,1439,513,-5.108696594,-3.057622193
435,Vasterb,59,2,32,1.4,542,846,0.135,0.101,0.236,"81,478",8.8,1179,415,-5.309734561,-3.355977912
436,Jamt,59,3,32,1.1,357,1690,0.259,0.296,0.555,"61,218",3.7,976,222,-4.993817756,-2.887133211
437,Vastern,59,4,32,5,1551,2758,0.909,0.043,0.952,"116,669",11.9,962,387,-4.781058813,-2.548038063
438,Gavle,59,5,32,6.9,2805,3159,1.114,0,1.114,"136,061",8.9,756,336,-4.062374376,-1.464477498
439,Koppar,59,6,32,5.5,3076,3349,1.085,0.987,2.072,"166,899",10.5,696,221,-5.0056477,-2.88665074
440,Varm,59,7,32,12.7,8613,4821,1.176,0.536,1.712,"247,171",34.1,564,140,-3.511004297,-2.628673034
441,Upps,59,8,32,12.8,11943,6608,1.11,1.804,2.914,"92,536",65.5,588,422,3.657268978,-0.911660981
442,Vastml,59,9,32,15.6,9818,5236,0.302,0.302,0.604,"103,300",98.3,557,337,3.154624876,-0.893471208
443,Stock,59,10,32,34.5,11792,7040,0.295,0,0.295,"234,128",38.1,519,453,3.657268978,-0.911660981
444,Orebro,59,11,32,16.2,9573,5595,0.235,0,0.235,"151,651",3.5,499,254,1.462591827,-1.005609686
445,Skara,59,13,32,27,35004,10418,0,0.9,0.9,"222,240",108.6,382,170,0,0
446,Alvsb,59,14,32,21.7,14373,6542,0.484,0.565,1.049,"269,322",24.9,352,101,3.657268978,-0.911660981
447,Goteborg,59,15,32,40.3,21840,11455,0.188,0.752,0.94,"214,342",128.4,381,44,1.396316619,2.887332404
448,Ostergl,59,16,32,20.7,13434,7172,0.172,1.116,1.288,"240,917",62.4,375,302,3.657268978,-0.911660981
449,Kalmar,59,17,32,18.9,14148,8987,0.684,0.684,1.368,"221,029",119.5,237,323,3.657268978,-0.911660981
450,Jonk,59,18,32,16,13332,9561,0.56,0.093,0.653,"171,011",116.9,269,217,3.657268978,-0.911660981
451,Halland,59,19,32,20.9,20784,10578,0,0.175,0.175,"119,578",41.1,208,107,1.05374808,3.462937462
452,Kronob,59,20,32,16.1,9224,7425,0.106,0,0.106,"152,225",44,184,224,3.657268978,-0.911660981
453,Kristian,59,21,32,33.2,24461,11708,0,0,0,"209,581",27.5,103,170,-3.194101806,10.60044019
454,Blek,59,22,32,38.6,13885,10198,0,0,0,"117,875",117.8,120,263,2.835104484,0.469791159
455,Malmo,59,23,32,56.3,56852,20448,0,0,0,"284,430",13.7,58,136,-3.194101806,10.60044019
456,Norrb,60,1,33,0.7,291,336,0.028,0.358,0.386,"69,225",5.6,1439,513,-5.108696594,-3.057622193
457,Vasterb,60,2,33,1.4,542,846,0.051,0.101,0.152,"81,478",10.1,1179,415,-5.309734561,-3.355977912
458,Jamt,60,3,33,1.1,357,1690,0.055,0.333,0.388,"61,218",4.5,976,222,-4.993817756,-2.887133211
459,Vastern,60,4,33,5,1551,2758,1.039,0,1.039,"116,669",16.8,962,387,-4.781058813,-2.548038063
460,Gavle,60,5,33,6.9,2805,3159,1.468,0,1.468,"136,061",10,756,336,-4.062374376,-1.464477498
461,Koppar,60,6,33,5.5,3076,3349,0.756,0.625,1.381,"166,899",16.6,696,221,-5.0056477,-2.88665074
462,Varm,60,7,33,12.7,8613,4821,1.176,0.536,1.712,"247,171",34.1,564,140,-3.511004297,-2.628673034
463,Upps,60,8,33,12.8,11943,6608,1.11,0.971,2.081,"92,536",85.2,588,422,3.657268978,-0.911660981
464,Vastml,60,9,33,15.6,9818,5236,1.663,0.454,2.117,"103,300",114,557,337,3.154624876,-0.893471208
